,Country,Confirmed,Deaths,Recovered,Active,Cardio Death Rate,Diabetes Percentage,Obesity,Undernourished,PopMale,PopFemale,PopTotal,Total Population,Clusters
57,Guinea-Bissau,0.03336947926433052,0.00015617540997346578,0.0013014617497788816,0.031911842104578175,0.3824742521840564,2.42,8.2,28.0,0.2573770756362717,0.464986253960999,0.7223633295972706,1920.9170000000001,0
58,Guyana,0.012008559292261507,0.0012775063076873945,0.00447127207690588,0.006259780907668233,0.3731587564276042,11.62,19.2,8.1,1.0128070007345662,1.3277123055795088,2.3405193063140755,782.7749999999999,1
59,Haiti,0.0013406635965174355,0.00010654280237224652,0.00015093563669401591,0.001083185157451173,0.4305481444720517,6.65,20.5,49.3,0.7639562858433292,1.0433559064976814,1.807312192341011,11263.079,0
60,Honduras,0.018776712567007466,0.0011081338564135554,0.0020007972407466972,0.015667781469847212,0.2402083212875924,7.21,19.4,12.9,0.7990465944635374,1.0602891511130328,1.8593357455765704,9746.115000000002,1
61,Hungary,0.03317610907123415,0.004181862487970691,0.009334330096606185,0.019659916486657273,0.27829609999295085,7.55,28.6,1.0,2.641171417124778,5.515473923764128,8.156645340888907,9684.680000000002,1
62,Iceland,0.5312104578556321,0.0029495305822078407,0.5229517722254502,0.005309155047974114,0.1179921393929136,5.31,23.1,1.0,2.8061833959125404,3.5506449148618,6.35682831077434,339.0370000000001,2
63,India,0.004596544484599043,0.00015375971153583286,0.0014125255556178534,0.003030259217445357,0.28227953642280584,10.39,3.8,14.5,0.9325170098272642,1.0968276673945685,2.0293446772218324,1366417.7559999998,0
64,Indonesia,0.00504202176877102,0.00035436415362780565,0.000963323616796339,0.003724333998346875,0.3428636886156254,6.32,6.9,8.3,0.7850078703022175,1.1510401750031254,1.9360480453053424,270625.567,0
65,Iran,0.1281088080136341,0.007946798493709613,0.10259318061449606,0.017568828905428432,0.27030771954618604,9.59,25.5,4.9,1.1918038874377783,0.9757966617247124,2.167600549162491,82913.893,1
66,Iraq,0.006815096361875665,0.0002721968311760717,0.004329710342632468,0.002213189188067125,0.21861208369367452,8.83,27.4,29.0,0.4587203457133793,0.6307563747035121,1.0894767204168916,39309.789,1
67,Ireland,0.46615482484580645,0.029615987553911954,0.3504353714020979,0.08610346588979659,0.12645861360418353,3.28,26.9,1.0,2.520328733365585,3.178659776204721,5.698988509570307,4882.498,2
68,Israel,0.19313627892569094,0.0028992743949584087,0.1335309535103112,0.05670605102042136,0.09331980672644467,6.74,26.7,1.0,2.0387767973065634,2.878697763321316,4.917474560627879,8519.372999999998,2
69,Italy,0.36047509225914964,0.050198107048293174,0.17015828811622616,0.14011869709463035,0.11315097657432208,4.78,22.9,1.0,4.664937585891695,7.021094204117807,11.686031790009501,60550.092,2
70,Jamaica,0.01661987662624645,0.00030526304007391436,0.0021029231649536324,0.0142116904212189,0.2065372867763469,11.28,24.4,8.0,1.7314519632992422,1.9030437099363458,3.634495673235589,2948.277,1
71,Japan,0.012346652280868424,0.000478479086668399,0.004655514803729101,0.007212658390470923,0.079370363422442,5.72,4.4,1.0,5.512895724768867,8.52881719914597,14.041712923914835,126860.29899999998,2
72,Jordan,0.005167448597992991,8.909394134470673e-05,0.00383103947782239,0.0012473151788258943,0.20825675667403612,11.75,33.4,12.2,0.6265778908236903,0.7562986694215833,1.3828765602452735,10101.697,1
73,Kazakhstan,0.02681734257869529,0.00016710303918382994,0.009573387019047806,0.01707685252046365,0.4667918006232961,7.11,21.3,1.0,0.8841529611628821,2.0282751279308524,2.9124280890937344,18551.428,1
74,Kenya,0.001234451263683412,5.706246211171396e-05,0.00039373098857082634,0.0007836578130008717,0.2186365955638149,2.92,6.0,29.4,0.2323811707037439,0.3857974042552276,0.6181785749589715,52573.967,0
75,Kuwait,0.18119468695248506,0.0011647041401904455,0.062323556236313235,0.11770642657598138,0.13223514102481027,15.84,37.0,2.8,0.35544868800832496,0.2567103002868737,0.6121589882951987,4207.077,1
76,Kyrgyzstan,0.01451093549398201,0.00018703676254326973,0.010255849146122624,0.004068049585316117,0.4363624176154257,7.11,15.4,7.1,0.44407203346835816,0.9892997826788684,1.4333718161472266,6415.8510000000015,1
77,Laos,0.0002650131334929735,0.0,0.00018132477554782397,8.368835794514953e-05,0.3681113892753116,4.0,4.5,16.5,0.5232475099923899,0.7419112412434082,1.2651587512357978,7169.456,0
78,Latvia,0.0487743478397684,0.0009440196356084206,0.02433472838457262,0.02349559981958736,0.3500599328888808,4.91,25.7,1.0,2.8788927698585023,7.382443332599096,10.261336102457596,1906.74,2
79,Lebanon,0.011800384176166167,0.00037924596857888794,0.0034132137172099915,0.008007924490377289,0.2665912645356323,12.71,31.3,11.0,1.167829614705058,1.5102595515649804,2.6780891662700386,6855.709000000002,1
80,Liberia,0.00403048260066991,0.00040507362820803105,0.0016000408314217228,0.0020253681410401553,0.2725093279445797,2.42,8.6,37.2,0.4497329957179666,0.5802882260894151,1.030021221807382,4937.374000000002,0
